text_id,speaker_id,gender,topics,conv_id,turn,text,length,age_cat,clean_text,label,trigram_pred
37437,S0681,M,"['discussing the past day', 'wicken fen nature reserve', 'online banking', 'savings and interest', 'housing and issues', 'issues about dave’s front door and door keys', 'mapping genotypes', 'planning the next day', 'christmas cards', 'choosing and delivering a christmas present to friend', 'issues with my mobility rollator', 'changing battery in electric candle', 'christmas lists']",SLJ5,527,no I haven't,4,50_plus,no i haven't,1,1
8799,S0281,M,"['business idea', 'friends', 'international news.']",S6AP,107,"but she did the same thing she she <pause dur=""short"" /> met some guy and felt sorry for him and got married to help him get a",24,50_plus,"but she did the same thing she she <pause dur=""short"" /> met some guy and felt sorry for him and got married to help him get a",1,0
54809,S0041,F,[],SU82,2045,has considered me dead,4,19_29,has considered me dead,0,0
1431,S0238,F,"['hand-thrown mugs', 'milk', 'weather', 'spiders', 'gardening (several times)', 'power cuts', 'birds', 'decorating', 'some friends of anon', 'a local festival', 'an accident in the home']",S2UT,239,if they're doing all that er,7,50_plus,if they're doing all that er,1,1
33122,S0265,M,['travel and domestic arrangements'],SJAW,46,oh right,2,50_plus,oh right,1,1
16942,S0281,M,"['food', 'china', 'laptop']",S9ZP,107,yeah well there you go,5,50_plus,yeah well there you go,1,1
18810,S0486,F,['childhood memories of the war years.'],SBS5,3,"<vocal desc=""laugh"" />",0,50_plus,"<vocal desc=""laugh"" />",1,0
26783,S0680,F,"['making a shopping list', 'ages on birthday cards', 'buying calendar fobs', 'art and craft at school', 'other things from primary school', 'hockey boots', 'subjects for study at university – sound recording', 'wider take on social history', 'changes in computers and computing', 'passing computers to computing museum', 'volunteering at computing museum']",SEVC,351,yes,1,50_plus,yes,1,1
4219,S0248,M,"['superstitions / good luck / bad luck / sporting rituals', 'lucky charms', 'etc.']",S3TD,104,"<unclear>sound the</unclear> <trunc>f</trunc> I remember I don't I remember you saying about him or I remember your dad saying about this unlucky <anon nameType=""m"" type=""name"" />",21,50_plus,"<unclear>sound the</unclear> <trunc>f</trunc> i remember i don't i remember you saying about him or i remember your dad saying about this unlucky <anon nametype=""m"" type=""name"" />",1,0
20591,S0179,M,"['food', 'holidays']",SD6X,1814,mm,1,19_29,mm,0,1
5576,S0248,M,['museums / imax and 3d cinema / public transport'],S4VJ,173,oh we walked down there didn't we?,9,50_plus,oh we walked down there didn't we?,1,1
44279,S0012,M,['no info'],SP5U,477,what is the point?,5,50_plus,what is the point?,1,0
52553,S0013,F,['no info'],ST64,54,why what?,3,50_plus,why what?,1,0
39294,S0058,F,"['food', 'gyms', 'work', 'cars', 'friends', 'graduate jobs', 'literature', 'drugs', 'tv and film', 'gender discrimination', 'babies']",SM6B,1496,oh right,2,19_29,oh right,0,1
30950,S0192,M,"['study', ""tomorrow's plans"", 'cooking', 'smoking', 'selling cds', 'the internet', 'cataloguing', 'children', 'beer and cigarettes', ""master's degrees"", 'linguistics', 'visiting home', 'family', 'basque', 'jobs', 'south korea', 'grammar', 'budgets', 'pheromones']",SGN8,489,oh he does look fat doesn't he there?,10,19_29,oh he does look fat doesn't he there?,0,0
6356,S0427,M,['home decorating; academic research project funding; coffee; italy; water companies; hadron collider'],S55B,200,uhu,1,50_plus,uhu,1,1
10491,S0441,F,"['work', 'the weekend', 'house party', 'living arrangements', 'communications', 'complaining', 'friends.']",S7MF,374,open my vagina,3,19_29,open my vagina,0,1
12750,S0529,F,"['anon and anon are talking in the kitchen', 'anon is cooking toad in the hole for herself', 'anon is helping and advising her. talk about food', 'cooking', 'anon’s date.']",S954,316,"<unclear /> <vocal desc=""laugh"" />",1,19_29,"<unclear /> <vocal desc=""laugh"" />",0,0
48521,S0439,F,"['gym', 'holidays', 'nights out', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'work', 'health', 'future plans']",SQRA,212,yeah,1,19_29,yeah,0,0
15364,S0486,F,"['membership of a society', 'life information', 'some technical engineering subjects.']",S9F7,320,"yeah well <pause dur=""short"" /> what would happen was people would ring up and ask us for it",15,50_plus,"yeah well <pause dur=""short"" /> what would happen was people would ring up and ask us for it",1,0
32276,S0680,F,"['orchids', 'birthday cakes', 'school dinners', 'other stuff about our senior school', 'shopping in east kent', 'shopping in cambridge', 'cambridge university', 'plans for the afternoon']",SHHX,527,oh so you you were in mixed?,8,50_plus,oh so you you were in mixed?,1,0
50043,S0238,F,"['birdsong identification', 'alarm clocks', 'feeding birds', 'the dentist', 'nosebleeds', 'feeding birds', 'gardening', 'elderly women', 'throat cancer', 'mutual friends']",SRBZ,274,mm,1,50_plus,mm,1,1
22009,S0486,F,"['military experience', 'career', 'meeting his wife', 'places in taunton.']",SDEX,65,yeah,1,50_plus,yeah,1,0
55497,S0198,F,"['new apartments', 'things to buy', 'things to do', 'connecting the internet', 'food', 'rubbish collection', 'cooking', 'seasonal produce', 'smoking cigarettes', 'the nursery next door', 'banking']",SV28,22,I've got a pen I've got a pen,10,19_29,i've got a pen i've got a pen,0,0
1621,S0238,F,"['hand-thrown mugs', 'milk', 'weather', 'spiders', 'gardening (several times)', 'power cuts', 'birds', 'decorating', 'some friends of anon', 'a local festival', 'an accident in the home']",S2UT,429,mm,1,50_plus,mm,1,1
28477,S0192,M,"['the weekend', 'work', 'chichester', 'family', 'british national corpus', 'linguistics', 'pay day', 'colleagues', 'photos', 'names', 'hometowns', 'personal information', 'divorce', 'musicals', 'theatre', 'university', 'malaysian dialect', 'time off', 'judge judy', 'grades', 'creative writing', 'undergraduate degrees', 'novel writing', 'grammar', 'referencing', 'fireworks', 'money & budgets', 'supervisor position', 'coffee', 'schedules', 'greece', 'friends & family', 'tefl', 'tuitions fees', 'student loans', ""master's degrees"", 'boyfriends', 'relationships', 'proposal', 'marriage', 'siblings', 'passives', 'hair', 'cheating ']",SFNQ,1799,"I've got a friend I told you <anon nameType=""m"" type=""name"" /> er I recorded him a little bit yesterday but he's really hard to record cos he just says incriminating things all the time",33,19_29,"i've got a friend i told you <anon nametype=""m"" type=""name"" /> er i recorded him a little bit yesterday but he's really hard to record cos he just says incriminating things all the time",0,0
43086,S0282,F,"['advice about renovation projects for historic buildings', 'bidding for funds', 'workable business plans']",SNXL,493,oh right,2,50_plus,oh right,1,1
13343,S0192,M,"['linguistics recording', 'friends', 'pregnancy', 'reunions', 'colloquialisms', 'post', 'chores', 'money and budgets', 'salary', 'marriage', 'joint bank accounts', 'south korea', 'education', 'tv', 'shopping', 'weather', 'childbirth', 'children', 'future plans', 'living abroad', 'university', 'form filling', 'accent', 'spanish', 'cigarettes', 'cost of living', 'old jobs', '']",S97Z,1762,yeah definitely,2,19_29,yeah definitely,0,0
21577,S0439,F,"['food', 'work', 'holidays', 'ex-boyfriends', 'relationships. ']",SD92,1042,and just,2,19_29,and just,0,0
41153,S0282,F,"['sources of funds to convert churches', 'history of a charitable building', 'fundraising tips']",SN59,74,oh right,2,50_plus,oh right,1,1
34372,S0041,F,"['relationships', 'tv', 'monarchy']",SK3B,1119,right,1,19_29,right,0,1
6733,S0426,M,['home decorating; academic research project funding; coffee; italy; water companies; hadron collider'],S55B,577,"<vocal desc=""laugh"" /> you got I got that's right",7,50_plus,"<vocal desc=""laugh"" /> you got i got that's right",1,1
26810,S0679,F,"['making a shopping list', 'ages on birthday cards', 'buying calendar fobs', 'art and craft at school', 'other things from primary school', 'hockey boots', 'subjects for study at university – sound recording', 'wider take on social history', 'changes in computers and computing', 'passing computers to computing museum', 'volunteering at computing museum']",SEVC,378,"and I rather suspect that erm <anon nameType=""n"" type=""name"" /> might be in the same in the same boat",16,50_plus,"and i rather suspect that erm <anon nametype=""n"" type=""name"" /> might be in the same in the same boat",1,1
41075,S0203,M,"['friendship', 'paedophiles', 'guitars', 'bands', 'hobbies']",SMSW,523,yeah,1,19_29,yeah,0,0
21510,S0439,F,"['food', 'work', 'holidays', 'ex-boyfriends', 'relationships. ']",SD92,795,mm,1,19_29,mm,0,1
34577,S0254,F,"['museums', 'parking', 'work', 'shopping', 'weddings', 'moving house', 'christmas and presents', 'interview for a masters', 'money', 'future plans', 'pets']",SKJ6,145,you know I do just be an added bonus if we get a load of presents,16,19_29,you know i do just be an added bonus if we get a load of presents,0,0
2042,S0674,M,"['music; bands', 'drumming', 'live and albums', 'mutual friends', 'internships', 'plans ']",S2YK,379,"<anon nameType=""m"" type=""name"" /> was keen",3,19_29,"<anon nametype=""m"" type=""name"" /> was keen",0,1
40522,S0179,M,"['making arrangements', 'football', 'cars', 'tennis', 'the angel of the north', 'flats', 'parking']",SMMK,62,can't quite believe you didn't recognise that,9,19_29,can't quite believe you didn't recognise that,0,1
13732,S0012,M,['no info'],S9DE,353,it's all it's the weather <unclear /> I suppose,10,50_plus,it's all it's the weather <unclear /> i suppose,1,1
20401,S0179,M,"['food', 'holidays']",SD6X,1019,right,1,19_29,right,0,1
13766,S0012,M,['no info'],S9DE,387,I don't want to no no no,8,50_plus,i don't want to no no no,1,1
10955,S0265,M,"['work', 'new technology']",S7QY,112,I don't know,4,50_plus,i don't know,1,0
334,S0441,F,"['food', 'old school friends', 'complaining about things', 'days out', 'gossiping about the neighbour', 'films', 'men', 'shopping', 'news. ']",S2AJ,36,it's so good,4,19_29,it's so good,0,0
38956,S0058,F,"['food', 'gyms', 'work', 'cars', 'friends', 'graduate jobs', 'literature', 'drugs', 'tv and film', 'gender discrimination', 'babies']",SM6B,98,I'm not sure cos the timetables don't seem to show that but,14,19_29,i'm not sure cos the timetables don't seem to show that but,0,1
45441,S0355,M,"['health', 'green party', 'jobs', 'boot sales', 'relationships.']",SPTQ,356,"I mean they wouldn't come to place where you get a a roast meal and <trunc>s</trunc> erm <pause dur=""short"" /> for four pound thirty-six and",22,50_plus,"i mean they wouldn't come to place where you get a a roast meal and <trunc>s</trunc> erm <pause dur=""short"" /> for four pound thirty-six and",1,1
651,S0362,M,"['friends', 'family', 'work', 'holidays', 'festivals', 'houses']",S2C9,992,okay,1,19_29,okay,0,0
18772,S0336,F,"['friends', 'boyfriends', 'cars', 'holidays', 'work']",SBEV,476,if she just brought him home it would be very personal like meeting,13,19_29,if she just brought him home it would be very personal like meeting,0,0
26699,S0680,F,"['making a shopping list', 'ages on birthday cards', 'buying calendar fobs', 'art and craft at school', 'other things from primary school', 'hockey boots', 'subjects for study at university – sound recording', 'wider take on social history', 'changes in computers and computing', 'passing computers to computing museum', 'volunteering at computing museum']",SEVC,267,no I mean earlier earlier when he was at university he could have gone into sound,16,50_plus,no i mean earlier earlier when he was at university he could have gone into sound,1,0
2194,S0441,F,"['food', 'weekend', 'work', 'english counties and places', 'halloween parties', 'future 5-year plans.  ']",S382,20,"<unclear /> <pause dur=""short"" /> don't know if they do",7,19_29,"<unclear /> <pause dur=""short"" /> don't know if they do",0,0
8416,S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,1009,"I don't seem to be able to do anything <vocal desc=""laugh"" />",10,19_29,"i don't seem to be able to do anything <vocal desc=""laugh"" />",0,0
52745,S0013,F,['no info'],ST64,246,mm,1,50_plus,mm,1,1
31045,S0198,F,"['study', ""tomorrow's plans"", 'cooking', 'smoking', 'selling cds', 'the internet', 'cataloguing', 'children', 'beer and cigarettes', ""master's degrees"", 'linguistics', 'visiting home', 'family', 'basque', 'jobs', 'south korea', 'grammar', 'budgets', 'pheromones']",SGN8,848,the topic is,3,19_29,the topic is,0,0
64807,S0439,F,"['sport', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'family', 'work']",SZ98,637,"so there's us OUP Hodder and Collins and we all bid for products and then like er what are they called? what's it called? when erm begins with B does it? <pause dur=""short"" /> <unclear>like er</unclear> yeah to ballot",39,19_29,"so there's us oup hodder and collins and we all bid for products and then like er what are they called? what's it called? when erm begins with b does it? <pause dur=""short"" /> <unclear>like er</unclear> yeah to ballot",0,0
24204,S0444,F,"['halloween party', 'relationships', 'work', 'future', 'holiday', 'new job', 'friends', 'interview', 'the past']",SECS,29,mm,1,19_29,mm,0,1
6067,S0275,F,"['going out', 'university', 'food and drink']",S4ZA,105,a lime is like oh,5,19_29,a lime is like oh,0,0
27416,S0013,F,['no info'],SF6K,332,yep it was all official,5,50_plus,yep it was all official,1,0
47887,S0282,F,"['birth of grandchild. being born abroad. what things are like in france: property', 'enterprise', 'land', 'anarchists and bureaucrats', 'french visitors to london. chichester cathedral spire collapsing. architect called porden. open day and photo exhibition. art competition. argument about bollards. local housing management: failings of new landlord. book being written by speaker no 2. british library. philip of spain and mary tudor: experience of visiting spanish archives. austrian battleship disaster. historians. ']",SQ37,929,"are they related to the <anon nameType=""n"" type=""name"" /> the <anon nameType=""n"" type=""name"" />? with",10,50_plus,"are they related to the <anon nametype=""n"" type=""name"" /> the <anon nametype=""n"" type=""name"" />? with",1,1
27804,S0375,F,"['food', 'domestic chores', 'pets', 'future plans', 'work', 'finances', 'parents', 'family', 'relationships', 'past activities', 'nostalgic stories', 'health ']",SFLB,178,"I like this bit here <pause dur=""long"" /> borrow your <unclear /> aren't I?",12,19_29,"i like this bit here <pause dur=""long"" /> borrow your <unclear /> aren't i?",0,0
64795,S0441,F,"['sport', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'family', 'work']",SZ98,590,was it?,3,19_29,was it?,0,1
21669,S0441,F,"['work', 'people from work', 'friends', 'break-ups']",SD9H,153,yeah,1,19_29,yeah,0,0
63193,S0013,F,"['looking at pictures', 'dentists', 'gardening']",SYDJ,396,so why was it left there?,7,50_plus,so why was it left there?,1,0
25803,S0557,F,"['future plans', 'relationships', 'trip to edinburgh/london', 'flooding in the lakes', 'christmas', 'present buying', 'family. ']",SEM7,533,yeah,1,19_29,yeah,0,0
