text_id,speaker_id,gender,topics,conv_id,turn,text,length,label,clean_text,age_cat
19705,S0529,F,"['instructing how to use the finger detector instead of number code on iphone', 'dislike of sundays', 'funny pictures on the internet', 'online shopping']",SCVK,186,"but then <pause dur=""short"" /> but then at the same time I just <pause dur=""short"" /> can't be arsed with it really <vocal desc=""laugh"" />",17,19_29,"but then <pause dur=""short"" /> but then at the same time i just <pause dur=""short"" /> can't be arsed with it really <vocal desc=""laugh"" />",0
26330,S0253,M,"['museums', 'parking', 'work', 'shopping', 'weddings', 'moving house', 'christmas and presents', 'interview for a masters', 'money', 'future plans', 'pets']",SESD,1262,"it was on er honestly it was on it was on like <pause dur=""short"" /> it was cos there used to be like the kids' TV on Channel four",27,19_29,"it was on er honestly it was on it was on like <pause dur=""short"" /> it was cos there used to be like the kids' tv on channel four",0
61557,S0529,F,"['dropping out of university', 'childhood', 'dirty shoes', 'name origins']",SXSM,800,why do they have links to everything? names? like who comes up with this shit?,18,19_29,why do they have links to everything? names? like who comes up with this shit?,0
60778,S0355,M,"['news items', 'food', 'drinking']",SXJW,191,"well I suppose I could really yeah I suppose I could but I want to wash I want to get myself prepared I've got to get to <anon nameType=""m"" type=""name"" />'s by eleven which means getting out the front door by ten",41,50_plus,"well i suppose i could really yeah i suppose i could but i want to wash i want to get myself prepared i've got to get to <anon nametype=""m"" type=""name"" />'s by eleven which means getting out the front door by ten",1
34806,S0253,M,"['museums', 'parking', 'work', 'shopping', 'weddings', 'moving house', 'christmas and presents', 'interview for a masters', 'money', 'future plans', 'pets']",SKJ6,1275,slow and and,3,19_29,slow and and,0
17001,S0015,F,"['food', 'china', 'laptop']",S9ZP,166,oh alright,2,50_plus,oh alright,1
1380,S0243,F,"['hand-thrown mugs', 'milk', 'weather', 'spiders', 'gardening (several times)', 'power cuts', 'birds', 'decorating', 'some friends of anon', 'a local festival', 'an accident in the home']",S2UT,188,yes,1,50_plus,yes,1
15885,S0439,F,"['sport', 'food', 'friends', 'catch-up', 'ex-boyfriends', 'family', 'work', 'house']",S9KS,240,on this date,3,19_29,on this date,0
55186,S0041,F,[],SU82,3712,but that's the only that's the only property they've got there,14,19_29,but that's the only that's the only property they've got there,0
24865,S0632,F,"['honeymoon', 'usa', 'iceland', 'boston', 'portland maine', 'family', 'california road trip', 'san francisco', 'la', 'camping', 'hotels', 'motels', 'national parks', 'desert', 'outsider art', 'food.']",SEGJ,1109,and you know that's part of their subversive power taking over space and all that learning about his reasons for sticking it where he did cos the the cable cars used to go by but they don't any more,41,19_29,and you know that's part of their subversive power taking over space and all that learning about his reasons for sticking it where he did cos the the cable cars used to go by but they don't any more,0
13445,S0013,F,['no info'],S9DE,66,there's new holes,4,50_plus,there's new holes,1
38043,S0486,F,"['visit to china', 'people canoeing on the river exe', 'politics in china', 'and population concerns in england', 'losing our national identity.']",SLMB,300,yeah,1,50_plus,yeah,1
42608,S0282,F,"['advice about renovation projects for historic buildings', 'bidding for funds', 'workable business plans']",SNXL,15,mm,1,50_plus,mm,1
31646,S0444,F,"['food', 'friends', 'catch-up', 'ex-boyfriends', 'family', 'work', 'health', 'future plans']",SHHG,534,okay,1,19_29,okay,0
7995,S0439,F,"['holiday', 'great north run', 'newcastle', 'netball', 'sport', 'food', 'friends', 'catch-up']",S5YC,203,"or younger yeah like at school still I was just like I don't need it <anon nameType=""f"" type=""name"" /> so don't do it again or if you do just don't",30,19_29,"or younger yeah like at school still i was just like i don't need it <anon nametype=""f"" type=""name"" /> so don't do it again or if you do just don't",0
39757,S0013,F,['no info'],SMF3,395,yeah,1,50_plus,yeah,1
26006,S0539,F,"['future plans', 'relationships', 'trip to edinburgh/london', 'flooding in the lakes', 'christmas', 'present buying', 'family. ']",SEM7,1403,"it's generally not too bad <vocal desc=""sigh"" />",6,19_29,"it's generally not too bad <vocal desc=""sigh"" />",0
57521,S0427,M,"[""how was your weekend; football players' young children; snooker players; gardening; marking students' work; entry ino the police force and the armed forces""]",SVN6,18,"you know <pause dur=""short"" /> the romantic in me A wanted him to win",11,50_plus,"you know <pause dur=""short"" /> the romantic in me a wanted him to win",1
26257,S0254,F,"['museums', 'parking', 'work', 'shopping', 'weddings', 'moving house', 'christmas and presents', 'interview for a masters', 'money', 'future plans', 'pets']",SESD,1001,oh,1,19_29,oh,0
13679,S0013,F,['no info'],S9DE,300,yeah,1,50_plus,yeah,1
29696,S0242,M,"['vegan food', 'eating meat', 'back pain', 'pudding', 'computer updates', 'designing traffic systems', 'food allergies and diet']",SG2E,321,yeah,1,50_plus,yeah,1
65859,S0058,F,"['film', 'literature', 'food']",SZPS,670,"okay <pause dur=""short"" /> let's have a look <pause dur=""short"" /> huh <pause dur=""short"" /> fish and Chicken is shut",12,19_29,"okay <pause dur=""short"" /> let's have a look <pause dur=""short"" /> huh <pause dur=""short"" /> fish and chicken is shut",0
60979,S0587,M,[],SXK4,557,you can have him,4,19_29,you can have him,0
36431,S0441,F,"['holiday', 'barcelona', 'paris', 'future plans', 'the weekend', 'tv shows', 'food', 'family', 'boyfriends', '']",SLDD,28,yeah,1,19_29,yeah,0
1876,S0243,F,"['hand-thrown mugs', 'milk', 'weather', 'spiders', 'gardening (several times)', 'power cuts', 'birds', 'decorating', 'some friends of anon', 'a local festival', 'an accident in the home']",S2UT,684,oh,1,50_plus,oh,1
