position,length
1797,322
2459,146
1686,143
676,137
674,136
5,119
1653,117
56,118
1671,108
197,108
1717,102
338,106
1066,106
860,99
437,98
1340,96
1382,91
2471,96
180,90
993,92
1645,86
1629,87
189,90
528,93
62,87
29,85
1500,82
1925,81
1336,83
65,83
268,82
1490,80
190,79
641,84
1148,79
949,88
342,79
2,80
985,79
3362,74
633,79
1752,75
1905,76
1568,73
1402,73
432,74
205,79
1482,71
338,76
201,78
1183,69
1072,75
125,67
623,76
1466,70
242,71
2482,73
1434,68
448,67
625,72
123,66
997,70
1096,72
1637,66
256,70
534,65
2432,67
2261,69
430,66
876,65
1455,64
967,65
1512,61
45,64
152,62
2390,60
1338,62
361,59
1674,60
1903,58
2180,63
1605,60
2122,61
617,63
309,65
1673,59
273,57
705,57
882,60
192,59
1570,56
1086,58
1168,56
21,59
124,60
233,56
1301,57
563,56
2280,58
58,58
13,56
1657,55
1186,54
150,57
398,56
874,58
1094,55
536,54
908,56
364,57
2164,54
229,54
158,53
162,53
1474,59
256,52
2333,52
1334,51
2568,52
1241,56
324,52
160,51
1,53
1064,50
1495,50
158,54
624,51
1074,53
420,49
1364,50
261,54
627,53
2607,52
685,52
429,53
185,49
2184,54
628,50
1110,53
8,51
1062,49
848,53
27,49
2603,49
341,48
1238,51
623,47
470,49
2436,49
1514,49
332,48
2219,50
269,49
2558,47
146,50
2002,48
642,47
32,48
898,48
564,54
1126,46
1088,46
533,51
1330,47
914,49
2282,52
1418,46
469,45
49,47
487,49
681,50
83,51
609,48
67,48
127,50
1352,46
866,48
87,44
9,46
3488,47
1146,44
2783,49
1609,43
1594,43
393,47
1,46
536,46
1793,44
560,45
1416,43
639,46
305,46
181,47
1726,46
870,44
40,45
416,44
1050,44
105,48
1297,44
995,48
1661,42
1106,47
318,42
930,41
838,42
961,43
3356,42
1944,45
467,44
428,41
271,44
25,46
315,44
441,42
5,41
663,42
508,41
54,41
438,43
2511,40
862,42
2974,40
453,40
508,41
1962,40
2217,46
916,42
530,44
460,41
670,40
211,41
2524,39
2831,40
1484,42
582,41
1049,41
423,41
2495,42
271,40
603,42
215,41
1331,40
1236,39
2416,39
2623,41
130,43
1742,42
466,40
1297,39
500,41
840,39
542,40
392,39
156,39
2570,41
1225,38
686,40
2388,39
2411,40
251,39
1495,38
285,41
399,39
67,39
630,38
868,40
41,37
159,38
324,38
130,38
955,38
963,41
242,40
283,41
156,39
2172,42
844,37
113,37
1136,38
257,40
74,37
1551,39
868,38
3254,38
3448,36
136,38
122,37
316,38
2586,40
175,36
1488,37
3445,37
485,43
542,37
1333,37
1343,35
530,35
46,35
14,40
512,38
287,41
1839,40
595,35
2985,37
912,35
2325,37
935,38
37,35
196,41
146,37
568,39
906,38
1184,36
1659,38
320,38
1461,35
301,37
104,35
299,36
510,41
1728,36
161,35
17,36
2150,37
2469,38
1434,34
599,36
231,39
1328,35
326,35
172,34
265,34
591,36
210,35
2384,38
209,37
70,34
344,39
521,37
27,38
63,33
331,34
46,35
2379,35
413,33
568,33
745,37
1052,36
2720,36
149,34
877,34
110,37
2478,35
828,34
1946,34
1366,36
60,35
352,34
296,36
119,33
1024,33
1101,39
354,35
402,33
559,34
1678,35
1960,35
540,32
1034,34
1598,36
286,34
2609,36
1233,36
1132,37
462,33
1370,33
840,35
112,34
951,33
492,35
969,34
856,31
1785,33
470,35
498,32
274,31
1277,32
21,31
2502,32
457,33
3466,33
558,35
2323,34
301,33
1769,35
3157,32
301,31
2252,31
5,32
1631,33
259,31
1317,32
2305,35
1742,30
406,35
324,34
1194,34
700,32
397,34
67,32
415,34
2538,33
1822,32
1922,33
1867,32
64,30
775,34
249,30
466,30
1058,33
364,31
318,33
55,32
1428,30
987,31
2537,32
428,30
691,31
1053,31
2605,30
1777,31
926,31
3,30
1060,31
9,31
549,32
430,32
2895,31
410,30
1164,30
465,34
693,31
742,34
1438,32
378,30
7,30
2334,33
1627,31
348,29
506,33
32,30
738,33
60,30
1620,30
343,30
271,29
396,30
71,29
435,29
2952,29
264,30
942,30
326,29
452,33
1602,30
41,29
1020,30
1837,29
461,30
314,29
268,30
210,31
274,30
2278,29
1598,31
225,28
2323,28
646,32
943,30
51,32
1697,29
126,31
279,28
1039,30
906,29
281,30
2179,29
1084,28
1711,28
280,31
352,31
1565,30
636,29
92,28
1710,29
410,31
379,28
901,30
152,29
299,28
2300,30
1467,30
609,32
446,29
532,29
607,31
235,29
662,29
2083,29
989,32
91,31
1155,29
1006,28
859,27
225,29
2846,27
2271,29
258,28
65,27
1647,28
1486,27
251,29
1120,28
627,28
1501,27
717,29
2155,27
46,30
2169,27
544,29
400,27
260,30
2636,30
502,30
19,28
150,29
202,28
750,29
270,28
17,27
1669,28
881,31
342,28
679,31
2992,29
578,29
842,27
634,29
350,29
167,29
2195,27
8,30
635,29
1444,26
2624,29
1539,28
1703,27
450,28
563,26
329,26
2235,30
686,26
186,27
645,30
407,27
45,30
372,29
2373,29
2820,29
150,29
627,29
97,29
73,27
169,27
411,27
392,29
350,30
916,29
3122,30
1962,26
32,26
631,27
636,26
3,27
322,28
425,27
3,28
507,27
154,29
3249,27
116,28
2962,31
279,26
2271,28
1014,27
1134,29
348,26
163,29
249,29
2619,27
106,27
250,30
1001,25
1730,25
85,25
1780,26
293,25
327,29
465,25
854,29
3370,25
